Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Priority,Status,Acquisition_Notes,Link,Search_Query
95,Heterodox Profit Rate,Classical,Dumenil,Gerard,The Economics of the Profit Rate,1993,Edward Elgar,BOOK,HIGH,NEEDED,Edward Elgar or used bookstores,https://scholar.google.com/scholar?q=Dumenil+The+Economics+of+the+Profit+Rate,Dumenil The Economics of the Profit Rate
96,Heterodox Profit Rate,Neoliberalism,Dumenil,Gerard,Capital Resurgent: Roots of the Neoliberal Revolution,2004,Harvard UP,BOOK,MEDIUM,NEEDED,Harvard UP or Amazon,https://scholar.google.com/scholar?q=Dumenil+Capital+Resurgent%3A+Roots+of+the+Neoliberal+Revolution,Dumenil Capital Resurgent: Roots of the Neoliberal Revolution
97,Heterodox Profit Rate,Classical,Tsoulfidis,Lefteris,Competing Schools of Economic Thought,2010,Springer,BOOK,MEDIUM,NEEDED,Springer or Amazon,https://www.springer.com/,Tsoulfidis Competing Schools of Economic Thought
98,Banking Competition,Klein-Monti,Klein,Michael,A Theory of the Banking Firm (JMCB),1971,Journal of Money Credit and Banking,ARTICLE,CRITICAL,NEEDED,JSTOR,https://www.jstor.org/,Klein A Theory of the Banking Firm
99,Banking Competition,Klein-Monti,Monti,Mario,"Deposit, Credit, and Interest Rate Determination under Alternative Bank Objectives",1972,,CHAPTER,CRITICAL,NEEDED,Rare chapter; check Google Scholar for citations,https://scholar.google.com/scholar?q=Monti+Deposit%2C+Credit%2C+and+Interest+Rate+Determination+under+Alternative+Bank,"Monti Deposit, Credit, and Interest Rate Determination under Alternative Bank"
100,Banking Competition,Textbook,Freixas,Xavier,Microeconomics of Banking (2nd ed),2008,MIT Press,BOOK,CRITICAL,NEEDED,MIT Press or Amazon; standard banking theory textbook,https://mitpress.mit.edu/,Freixas Microeconomics of Banking
101,Banking Competition,Deposit Franchise,Drechsler,Itamar,The Deposits Channel of Monetary Policy (QJE),2017,Quarterly Journal of Economics,ARTICLE,CRITICAL,NEEDED,Oxford Academic or SSRN,https://academic.oup.com/qje,Drechsler The Deposits Channel of Monetary Policy
102,Banking Competition,Deposit Franchise,Drechsler,Itamar,Banking on Deposits: Maturity Transformation without Interest Rate Risk (JoF),2021,Journal of Finance,ARTICLE,CRITICAL,NEEDED,Wiley Online or SSRN,https://onlinelibrary.wiley.com/,Drechsler Banking on Deposits: Maturity Transformation without Interest Rate Risk
103,Banking Competition,Spatial,Salop,Steven,Monopolistic Competition with Outside Goods (Bell J Econ),1979,Bell Journal of Economics,ARTICLE,HIGH,NEEDED,JSTOR,https://www.jstor.org/,Salop Monopolistic Competition with Outside Goods
104,Banking Competition,Structure,Panzar,John,Testing for Monopoly Equilibrium (J Ind Econ),1987,Journal of Industrial Economics,ARTICLE,HIGH,NEEDED,JSTOR or Wiley,https://www.jstor.org/,Panzar Testing for Monopoly Equilibrium
105,Banking Competition,Structure,Berger,Allen,Bank Concentration and Competition (JMCB),2004,Journal of Money Credit and Banking,ARTICLE,HIGH,NEEDED,JSTOR or Wiley,https://www.jstor.org/,Berger Bank Concentration and Competition
106,Banking Competition,Entry,Cetorelli,Nicola,Finance as a Barrier to Entry (JoF),2006,Journal of Finance,ARTICLE,HIGH,NEEDED,Wiley Online,https://onlinelibrary.wiley.com/,Cetorelli Finance as a Barrier to Entry
107,Banking Competition,Spatial,Degryse,Hans,"Distance, Lending Relationships, and Competition (JoF)",2005,Journal of Finance,ARTICLE,MEDIUM,NEEDED,Wiley Online,https://onlinelibrary.wiley.com/,"Degryse Distance, Lending Relationships, and Competition"
108,Banking Competition,Structure,Claessens,Stijn,What Drives Bank Competition? (JFI),2004,Journal of Financial Intermediation,ARTICLE,MEDIUM,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Claessens What Drives Bank Competition?
109,Banking Competition,Comparative,Allen,Franklin,Comparing Financial Systems,2000,MIT Press,BOOK,MEDIUM,NEEDED,MIT Press or Amazon,https://mitpress.mit.edu/,Allen Comparing Financial Systems
110,Banking Competition,Stability,Vives,Xavier,Competition and Stability in Banking,2016,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Vives Competition and Stability in Banking
111,Stress Testing,Handbook,Farmer,J. Doyne,Handbook of Financial Stress Testing,2022,Cambridge UP,BOOK,CRITICAL,NEEDED,Cambridge UP; comprehensive reference,https://www.cambridge.org/,Farmer Handbook of Financial Stress Testing
112,Stress Testing,Policy,Tarullo,Daniel K.,Reconsidering the Regulatory Uses of Stress Testing (Brookings),2024,Brookings,WORKING_PAPER,CRITICAL,NEEDED,Free from Brookings,https://www.brookings.edu/,Tarullo Reconsidering the Regulatory Uses of Stress Testing
113,Stress Testing,Academic,Shapiro,Joel,Stress Testing and Bank Lending (RFS),2024,Review of Financial Studies,ARTICLE,CRITICAL,NEEDED,Oxford Academic or SSRN,https://academic.oup.com/rfs,Shapiro Stress Testing and Bank Lending
114,Stress Testing,Academic,Hirtle,Beverly,Supervisory Stress Tests (ARFE),2015,Annual Review of Financial Economics,ARTICLE,CRITICAL,PARTIAL,Item 22 in existing CSV - verify if acquired or just noted,https://www.annualreviews.org/,Hirtle Supervisory Stress Tests
115,Stress Testing,Academic,Goldstein,Itay,Should Banks' Stress Test Results Be Disclosed? (F&T in Finance),2014,Foundations and Trends in Finance,ARTICLE,HIGH,PARTIAL,Item 58 in existing CSV covers this,https://www.nowpublishers.com/,Goldstein Should Banks' Stress Test Results Be Disclosed?
116,Stress Testing,Academic,Flannery,Mark,Evaluating the Information in Fed Stress Tests (JFI),2017,Journal of Financial Intermediation,ARTICLE,HIGH,PARTIAL,Item 57 in existing CSV - verify status,https://www.sciencedirect.com/,Flannery Evaluating the Information in Fed Stress Tests
117,Stress Testing,Academic,Hirtle,Beverly,Does Supervision Affect Bank Lending? (JLE),2020,Journal of Law and Economics,ARTICLE,HIGH,NEEDED,University of Chicago Press Journals,https://www.journals.uchicago.edu/,Hirtle Does Supervision Affect Bank Lending?
118,Stress Testing,Academic,Glasserman,Paul,Are the Fed's Stress Test Results Predictable? (OFR),2015,OFR,WORKING_PAPER,HIGH,NEEDED,Free from OFR,https://www.financialresearch.gov/,Glasserman Are the Fed's Stress Test Results Predictable?
119,Stress Testing,Academic,Greenlaw,David,Stressed Out: Macroprudential Principles for Stress Testing,2012,,WORKING_PAPER,HIGH,NEEDED,Check SSRN or Brookings,https://papers.ssrn.com/,Greenlaw Stressed Out: Macroprudential Principles for Stress Testing
120,Stress Testing,Academic,Pritsker,Matt,An Overview of Macroprudential Stress Testing (ARFE),2019,Annual Review of Financial Economics,ARTICLE,HIGH,NEEDED,Annual Reviews,https://www.annualreviews.org/,Pritsker An Overview of Macroprudential Stress Testing
121,Stress Testing,Academic,Schuermann,Til,Stress Testing Banks (IJF),2014,International Journal of Forecasting,ARTICLE,HIGH,PARTIAL,Item 21 in existing CSV - verify acquisition,https://www.sciencedirect.com/,Schuermann Stress Testing Banks
122,Stress Testing,Academic,Acharya,Viral,Testing Macroprudential Stress Tests (JME),2014,Journal of Monetary Economics,ARTICLE,HIGH,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Acharya Testing Macroprudential Stress Tests
123,Stress Testing,Academic,Frame,Scott,"The Failure of Supervisory Stress Testing: Fannie Mae, Freddie Mac, and OFHEO",2015,,WORKING_PAPER,MEDIUM,NEEDED,Check SSRN or NBER,https://papers.ssrn.com/,"Frame The Failure of Supervisory Stress Testing: Fannie Mae, Freddie Mac, and OFHEO"
124,Stress Testing,Academic,Covas,Francisco,Stress-Testing U.S. Bank Holding Companies (IJCB),2014,International Journal of Central Banking,ARTICLE,MEDIUM,PARTIAL,Item 23 in existing CSV - verify acquisition,https://www.ijcb.org/,Covas Stress-Testing U.S. Bank Holding Companies
125,Stress Testing,Academic,Guerrieri,Luca,The Information Content of Stress Test Announcements (FEDS),2021,FEDS Working Papers,WORKING_PAPER,MEDIUM,DOWNLOADED,Free from Fed; Downloaded 2026-02-26,https://www.federalreserve.gov/econres/feds/,Guerrieri The Information Content of Stress Test Announcements
126,Stress Testing,Policy,BIS,,Preserving the Dynamism and Credibility of Stress Testing,2025,BIS,REPORT,HIGH,DOWNLOADED,Free from BIS; Downloaded 2026-02-26,https://www.bis.org/,BIS Preserving the Dynamism and Credibility of Stress Testing
127,Stress Testing,Policy,BCBS,,Supervisory and Bank Stress Testing: Range of Practices,2017,BCBS,REPORT,MEDIUM,DOWNLOADED,Free from BIS; Downloaded 2026-02-26,https://www.bis.org/bcbs/publ/d427.htm,BCBS Supervisory and Bank Stress Testing: Range of Practices
128,Nonbank Financial Intermediation,Global,FSB,,Global Monitoring Report on Nonbank Financial Intermediation 2025,2025,FSB,REPORT,CRITICAL,NEEDED,Free from FSB,https://www.fsb.org/publications/,FSB Global Monitoring Report on Nonbank Financial Intermediation 2025
129,Nonbank Financial Intermediation,Europe,ESRB,,EU Non-Bank Financial Intermediation Risk Monitor 2025,2025,ESRB,REPORT,HIGH,DOWNLOADED,Free from ESRB; Downloaded 2026-02-26,https://www.esrb.europa.eu/,ESRB EU Non-Bank Financial Intermediation Risk Monitor 2025
130,Nonbank Financial Intermediation,Academic,Claessens,Stijn,Non-bank financial intermediation (CEPR DP 18945),2024,CEPR,WORKING_PAPER,CRITICAL,NEEDED,CEPR discussion paper; may require subscription,https://cepr.org/,Claessens Non-bank financial intermediation
131,Nonbank Financial Intermediation,Academic,Aramonte,Sirio,Non-bank financial intermediaries and financial stability (BIS WP 972),2023,BIS,WORKING_PAPER,HIGH,DOWNLOADED,Free from BIS; Downloaded 2026-02-26,https://www.bis.org/publ/work972.htm,Aramonte Non-bank financial intermediaries and financial stability
132,Nonbank Financial Intermediation,Regulatory,BCBS,,Banks' Interconnections with Non-Bank Financial Intermediaries,2024,BCBS/BIS,REPORT,HIGH,DOWNLOADED,Free from BIS; Downloaded 2026-02-26,https://www.bis.org/,BCBS Banks' Interconnections with Non-Bank Financial Intermediaries
133,Nonbank Financial Intermediation,Academic,Acharya,Viral,Where Do Banks End and NBFIs Begin? (NBER WP 32316),2024,NBER,WORKING_PAPER,HIGH,DOWNLOADED,Free from NBER after embargo; Downloaded 2026-02-26,https://www.nber.org/papers/w32316,Acharya Where Do Banks End and NBFIs Begin?
134,Nonbank Financial Intermediation,Policy,CRS,,Nonbank Financial Intermediation and Capital Markets Policy (R48512),2025,Congressional Research Service,REPORT,MEDIUM,NEEDED,Free from CRS/congress.gov,https://crsreports.congress.gov/,CRS Nonbank Financial Intermediation and Capital Markets Policy
135,Nonbank Financial Intermediation,Academic,Pozsar,Zoltan,A Macro View of Shadow Banking,2015,,WORKING_PAPER,HIGH,NEEDED,Check SSRN or IMF,https://papers.ssrn.com/,Pozsar A Macro View of Shadow Banking
136,Nonbank Financial Intermediation,Academic,Mehrling,Perry,Bagehot Was a Shadow Banker (INET),2013,INET,WORKING_PAPER,MEDIUM,NEEDED,Free from INET,https://www.ineteconomics.org/,Mehrling Bagehot Was a Shadow Banker
137,Minsky Post-Keynesian,Core,Minsky,Hyman,Stabilizing an Unstable Economy,1986,Yale UP,BOOK,CRITICAL,NEEDED,McGraw-Hill reprint 2008; Amazon or library,https://scholar.google.com/scholar?q=Minsky+Stabilizing+an+Unstable+Economy,Minsky Stabilizing an Unstable Economy
138,Minsky Post-Keynesian,Core,Minsky,Hyman,The Financial Instability Hypothesis (Levy WP 74),1992,Levy Economics Institute,WORKING_PAPER,CRITICAL,DOWNLOADED,Free from Levy Institute; Downloaded 2026-02-26,https://www.levyinstitute.org/publications/the-financial-instability-hypothesis,Minsky The Financial Instability Hypothesis
139,Minsky Post-Keynesian,Core,Minsky,Hyman,John Maynard Keynes,1975,Columbia UP,BOOK,HIGH,NEEDED,Columbia UP or Amazon; Minsky's reinterpretation of Keynes,https://scholar.google.com/scholar?q=Minsky+John+Maynard+Keynes,Minsky John Maynard Keynes
140,Minsky Post-Keynesian,Core,Minsky,Hyman,Can It Happen Again?,1982,M.E. Sharpe,BOOK,HIGH,NEEDED,Routledge reprint; Amazon or library,https://scholar.google.com/scholar?q=Minsky+Can+It+Happen+Again%3F,Minsky Can It Happen Again?
141,Minsky Post-Keynesian,Policy,Kregel,Jan,Minsky and Dynamic Macroprudential Regulation (Levy PB 131),2014,Levy Economics Institute,WORKING_PAPER,HIGH,DOWNLOADED,Free from Levy Institute; Downloaded 2026-02-26,https://www.levyinstitute.org/,Kregel Minsky and Dynamic Macroprudential Regulation
142,Minsky Post-Keynesian,Secondary,Wray,L. Randall,Why Minsky Matters,2016,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Wray Why Minsky Matters
143,Minsky Post-Keynesian,Secondary,Wray,L. Randall,Making Money Work for Us,2022,Polity,BOOK,MEDIUM,NEEDED,Polity or Amazon,https://scholar.google.com/scholar?q=Wray+Making+Money+Work+for+Us,Wray Making Money Work for Us
144,Minsky Post-Keynesian,Secondary,Whalen,Charles,Reforming Capitalism for the Common Good,2022,Routledge,BOOK,MEDIUM,NEEDED,Routledge or Amazon,https://scholar.google.com/scholar?q=Whalen+Reforming+Capitalism+for+the+Common+Good,Whalen Reforming Capitalism for the Common Good
145,Minsky Post-Keynesian,Empirical,Cihanli,Barkin,An Empirical Analysis of the US Economy Through the Lens of FIH (1999-2022) (RRPE),2025,Review of Radical Political Economics,ARTICLE,HIGH,NEEDED,SAGE Journals,https://journals.sagepub.com/,Cihanli An Empirical Analysis of the US Economy Through the Lens of FIH
146,Minsky Post-Keynesian,Empirical,Phan,Thanh,Statistical Analysis of Minsky's FIH for the 1945-2023 Era (JRFM),2024,Journal of Risk and Financial Management,ARTICLE,HIGH,NEEDED,MDPI open access,https://www.mdpi.com/journal/jrfm,Phan Statistical Analysis of Minsky's FIH for the 1945-2023 Era
147,Minsky Post-Keynesian,Handbook,Nikolaidi,Maria,Minsky's financial instability hypothesis (handbook chapter),2023,,CHAPTER,MEDIUM,NEEDED,Check publisher; may be in Handbook of Post-Keynesian Economics,https://scholar.google.com/scholar?q=Nikolaidi+Minsky%27s+financial+instability+hypothesis,Nikolaidi Minsky's financial instability hypothesis
148,Minsky Post-Keynesian,Formal,Goodhart,Charles,Minsky's FIH and the Leverage Cycle (FMG/LSE),2020,LSE Financial Markets Group,WORKING_PAPER,MEDIUM,NEEDED,Free from LSE FMG,https://www.lse.ac.uk/fmg/,Goodhart Minsky's FIH and the Leverage Cycle
149,Critical Macro-Finance,Core,Gabor,Daniela,Critical Macro-Finance: A Theoretical Lens (Finance and Society),2020,Finance and Society,ARTICLE,CRITICAL,NEEDED,Open access journal,https://financeandsociety.ed.ac.uk/,Gabor Critical Macro-Finance: A Theoretical Lens
150,Critical Macro-Finance,Core,Gabor,Daniela,Banking on Bonds (JCMS),2016,Journal of Common Market Studies,ARTICLE,HIGH,NEEDED,Wiley Online,https://onlinelibrary.wiley.com/,Gabor Banking on Bonds
151,Critical Macro-Finance,Evolutionary,Gabor,Daniela,Institutional Supercycles: An Evolutionary Macro-Finance Approach (NPE),2023,New Political Economy,ARTICLE,HIGH,NEEDED,Taylor & Francis,https://www.tandfonline.com/,Gabor Institutional Supercycles: An Evolutionary Macro-Finance Approach
152,Critical Macro-Finance,Core,Mehrling,Perry,The New Lombard Street: How the Fed Became the Dealer of Last Resort,2011,Princeton UP,BOOK,CRITICAL,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Mehrling The New Lombard Street: How the Fed Became the Dealer of Last Resort
153,Critical Macro-Finance,Historical,Mehrling,Perry,Money and Empire: Charles P. Kindleberger and the Dollar System,2022,Cambridge UP,BOOK,HIGH,NEEDED,Cambridge UP or Amazon,https://www.cambridge.org/,Mehrling Money and Empire: Charles P. Kindleberger and the Dollar System
154,Critical Macro-Finance,Money,Murau,Steffen,Shadow Money and the Public Money Supply (RIPE),2017,Review of International Political Economy,ARTICLE,HIGH,NEEDED,Taylor & Francis,https://www.tandfonline.com/,Murau Shadow Money and the Public Money Supply
155,Critical Macro-Finance,Money,Murau,Steffen,Rethinking Monetary Sovereignty (Perspectives on Politics),2023,Perspectives on Politics,ARTICLE,MEDIUM,NEEDED,Cambridge Core,https://www.cambridge.org/core/journals/perspectives-on-politics,Murau Rethinking Monetary Sovereignty
156,Institutional Economics,Core,Veblen,Thorstein,The Theory of Business Enterprise,1904,,BOOK,CRITICAL,DOWNLOADED,Public domain; Project Gutenberg or Internet Archive; Downloaded 2026-02-26,https://archive.org/search?query=veblen+theory+business+enterprise,Veblen The Theory of Business Enterprise
157,Institutional Economics,Core,Veblen,Thorstein,The Theory of the Leisure Class,1899,,BOOK,HIGH,DOWNLOADED,Public domain; Project Gutenberg or Internet Archive; Downloaded 2026-02-26,https://www.gutenberg.org/ebooks/833,Veblen The Theory of the Leisure Class
158,Institutional Economics,Core,Commons,John R.,Institutional Economics,1934,Macmillan,BOOK,CRITICAL,NEEDED,Reprinted by Transaction Publishers; Amazon or library,https://scholar.google.com/scholar?q=Commons+Institutional+Economics,Commons Institutional Economics
159,Institutional Economics,Core,Commons,John R.,Legal Foundations of Capitalism,1924,Macmillan,BOOK,HIGH,NEEDED,Reprinted by Transaction Publishers; Amazon or library,https://scholar.google.com/scholar?q=Commons+Legal+Foundations+of+Capitalism,Commons Legal Foundations of Capitalism
160,Institutional Economics,Secondary,Hodgson,Geoffrey,The Evolution of Institutional Economics,2004,Routledge,BOOK,HIGH,NEEDED,Routledge or Amazon,https://scholar.google.com/scholar?q=Hodgson+The+Evolution+of+Institutional+Economics,Hodgson The Evolution of Institutional Economics
161,Institutional Economics,Secondary,Rutherford,Malcolm,Institutions in Economics: The Old and the New Institutionalism,1994,Cambridge UP,BOOK,MEDIUM,NEEDED,Cambridge UP or Amazon,https://scholar.google.com/scholar?q=Rutherford+Institutions+in+Economics%3A+The+Old+and+the+New+Institutionalism,Rutherford Institutions in Economics: The Old and the New Institutionalism
162,Institutional Economics,Secondary,Tool,Marc,"Institutional Economics: Theory, Method, Policy",1993,Kluwer,BOOK,MEDIUM,NEEDED,Out of print; university library,https://scholar.google.com/scholar?q=Tool+Institutional+Economics%3A+Theory%2C+Method%2C+Policy,"Tool Institutional Economics: Theory, Method, Policy"
163,Polanyi and Embeddedness,Core,Polanyi,Karl,The Great Transformation,1944,Farrar & Rinehart,BOOK,CRITICAL,NEEDED,Beacon Press reprint; Amazon or library,https://scholar.google.com/scholar?q=Polanyi+The+Great+Transformation,Polanyi The Great Transformation
164,Polanyi and Embeddedness,Contemporary,Kus,Basak,"Crises, Institutional Change, and the Re-Embedding of Finance (SER)",2022,Socio-Economic Review,ARTICLE,HIGH,NEEDED,Oxford Academic,https://academic.oup.com/ser,"Kus Crises, Institutional Change, and the Re-Embedding of Finance"
165,Polanyi and Embeddedness,Contemporary,Dale,Gareth,Polanyi's Double Movement and Capitalism Today (NPE),2022,New Political Economy,ARTICLE,HIGH,NEEDED,Taylor & Francis,https://www.tandfonline.com/,Dale Polanyi's Double Movement and Capitalism Today
166,Polanyi and Embeddedness,Contemporary,Ugarteche,Oscar,Double Movement Embeddedness and the Transformation of the Financial System,2020,,CHAPTER,MEDIUM,NEEDED,Check book chapter publisher,https://scholar.google.com/scholar?q=Ugarteche+Double+Movement+Embeddedness+and+the+Transformation+of+the+Financial+System,Ugarteche Double Movement Embeddedness and the Transformation of the Financial System
167,Polanyi and Embeddedness,Secondary,Block,Fred,The Power of Market Fundamentalism: Karl Polanyi's Critique,2014,Harvard UP,BOOK,MEDIUM,NEEDED,Harvard UP or Amazon,https://scholar.google.com/scholar?q=Block+The+Power+of+Market+Fundamentalism%3A+Karl+Polanyi%27s+Critique,Block The Power of Market Fundamentalism: Karl Polanyi's Critique
168,Polanyi and Embeddedness,Secondary,Dale,Gareth,Karl Polanyi: The Limits of the Market,2010,Polity,BOOK,MEDIUM,NEEDED,Polity or Amazon,https://scholar.google.com/scholar?q=Dale+Karl+Polanyi%3A+The+Limits+of+the+Market,Dale Karl Polanyi: The Limits of the Market
169,Polanyi and Embeddedness,Finance,Feinig,Jakob,Beyond Double Movement and Re-regulation: Polanyi and Money Politics,2018,,ARTICLE,MEDIUM,NEEDED,Check journal via Google Scholar,https://scholar.google.com/scholar?q=Feinig+Beyond+Double+Movement+and+Re-regulation%3A+Polanyi+and+Money+Politics,Feinig Beyond Double Movement and Re-regulation: Polanyi and Money Politics
170,Social Studies of Finance,Core,MacKenzie,Donald,An Engine Not a Camera: How Financial Models Shape Markets,2006,MIT Press,BOOK,CRITICAL,NEEDED,MIT Press or Amazon,https://mitpress.mit.edu/,MacKenzie An Engine Not a Camera: How Financial Models Shape Markets
171,Social Studies of Finance,Core,MacKenzie,Donald,The Credit Crisis as a Problem in the Sociology of Knowledge (AJS),2011,American Journal of Sociology,ARTICLE,CRITICAL,NEEDED,University of Chicago Press Journals,https://www.journals.uchicago.edu/,MacKenzie The Credit Crisis as a Problem in the Sociology of Knowledge
172,Social Studies of Finance,Markets,MacKenzie,Donald,Trading at the Speed of Light,2021,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,MacKenzie Trading at the Speed of Light
173,Social Studies of Finance,Models,MacKenzie,Donald,The Formula That Killed Wall Street: The Gaussian Copula (SocRev),2014,Sociological Review,ARTICLE,MEDIUM,NEEDED,SAGE Journals,https://journals.sagepub.com/,MacKenzie The Formula That Killed Wall Street: The Gaussian Copula
174,Social Studies of Finance,Models,,,Financial models as artefacts (J Cultural Economy),2025,Journal of Cultural Economy,ARTICLE,MEDIUM,NEEDED,Taylor & Francis; verify author,https://www.tandfonline.com/,Financial models as artefacts
175,Social Studies of Finance,Machine Learning,,,Machine learning and social action in markets (Economy and Society),2022,Economy and Society,ARTICLE,MEDIUM,NEEDED,Taylor & Francis; verify author,https://www.tandfonline.com/,Machine learning and social action in markets
176,Regulatory Capture,Core,Carpenter,Daniel,Preventing Regulatory Capture,2014,Cambridge UP,BOOK,CRITICAL,NEEDED,Cambridge UP or Amazon,https://www.cambridge.org/,Carpenter Preventing Regulatory Capture
177,Regulatory Capture,Core,Kwak,James,Cultural Capture and the Financial Crisis (in Carpenter & Moss),2014,Cambridge UP,CHAPTER,CRITICAL,NEEDED,Chapter in Preventing Regulatory Capture,https://scholar.google.com/scholar?q=Kwak+Cultural+Capture+and+the+Financial+Crisis,Kwak Cultural Capture and the Financial Crisis
178,Regulatory Capture,Classical,Stigler,George,The Theory of Economic Regulation (Bell J Econ),1971,Bell Journal of Economics,ARTICLE,HIGH,NEEDED,JSTOR,https://www.jstor.org/,Stigler The Theory of Economic Regulation
179,Regulatory Capture,Regulatory,GAO,,Bank Supervision: FDIC Could Better Address Regulatory Capture Risks (GAO-20-519),2020,GAO,REPORT,HIGH,NEEDED,Free from GAO,https://www.gao.gov/products/gao-20-519,GAO Bank Supervision: FDIC Could Better Address Regulatory Capture Risks
180,Regulatory Capture,Banking,Barth,James,Guardians of Finance: Making Regulators Work for Us,2012,MIT Press,BOOK,HIGH,NEEDED,MIT Press or Amazon,https://mitpress.mit.edu/,Barth Guardians of Finance: Making Regulators Work for Us
181,Regulatory Capture,Banking,Johnson,Simon,13 Bankers: The Wall Street Takeover,2010,Pantheon,BOOK,HIGH,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Johnson+13+Bankers%3A+The+Wall+Street+Takeover,Johnson 13 Bankers: The Wall Street Takeover
182,Regulatory Capture,Academic,Baxter,Lawrence,Capture in Financial Regulation: Can We Channel It? (Cornell J Law),2011,Cornell Journal of Law and Public Policy,ARTICLE,MEDIUM,NEEDED,Cornell Law School repository,https://scholarship.law.cornell.edu/,Baxter Capture in Financial Regulation: Can We Channel It?
183,Econometric Methods,Panel GMM,Arellano,Manuel,Some Tests of Specification for Panel Data (RES),1991,Review of Economic Studies,ARTICLE,CRITICAL,NEEDED,JSTOR or Oxford Academic,https://academic.oup.com/restud,Arellano Some Tests of Specification for Panel Data
184,Econometric Methods,Panel GMM,Blundell,Richard,Initial Conditions and Moment Restrictions in Dynamic Panel Data Models (JoE),1998,Journal of Econometrics,ARTICLE,CRITICAL,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Blundell Initial Conditions and Moment Restrictions in Dynamic Panel Data Models
185,Econometric Methods,Panel Data,Nickell,Stephen,Biases in Dynamic Models with Fixed Effects (Econometrica),1981,Econometrica,ARTICLE,CRITICAL,NEEDED,JSTOR,https://www.jstor.org/,Nickell Biases in Dynamic Models with Fixed Effects
186,Econometric Methods,Cointegration,Pedroni,Peter,Critical Values for Cointegration Tests in Heterogeneous Panels (OBES),1999,Oxford Bulletin of Economics and Statistics,ARTICLE,CRITICAL,NEEDED,Wiley Online,https://onlinelibrary.wiley.com/,Pedroni Critical Values for Cointegration Tests in Heterogeneous Panels
187,Econometric Methods,Cointegration,Pedroni,Peter,Panel Cointegration: Asymptotic and Finite Sample Properties (ET),2004,Econometric Theory,ARTICLE,CRITICAL,NEEDED,Cambridge Core,https://www.cambridge.org/core/journals/econometric-theory,Pedroni Panel Cointegration: Asymptotic and Finite Sample Properties
188,Econometric Methods,Panel VAR,Love,Inessa,Financial Development and Dynamic Investment Behavior (QREF),2006,Quarterly Review of Economics and Finance,ARTICLE,CRITICAL,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Love Financial Development and Dynamic Investment Behavior
189,Econometric Methods,Panel GMM,Roodman,David,How to do xtabond2: An Introduction to Difference and System GMM in Stata (SJ),2009,Stata Journal,ARTICLE,HIGH,NEEDED,SAGE Journals or Stata website,https://journals.sagepub.com/,Roodman How to do xtabond2: An Introduction to Difference and System GMM in Stata
190,Econometric Methods,Panel GMM,Roodman,David,A Note on the Theme of Too Many Instruments (Oxford Bull Econ Stat),2009,Oxford Bulletin of Economics and Statistics,ARTICLE,HIGH,NEEDED,Wiley Online,https://onlinelibrary.wiley.com/,Roodman A Note on the Theme of Too Many Instruments
191,Econometric Methods,GMM,Windmeijer,Frank,A Finite Sample Correction for the Variance of Linear Efficient Two-Step GMM Estimators (JoE),2005,Journal of Econometrics,ARTICLE,HIGH,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Windmeijer A Finite Sample Correction for the Variance of Linear Efficient Two-Step GMM
192,Econometric Methods,Panel Data,Pesaran,M. Hashem,General Diagnostic Tests for Cross-Sectional Dependence in Panels (Empirical Econ),2004,Empirical Economics,ARTICLE,MEDIUM,NEEDED,Springer,https://link.springer.com/,Pesaran General Diagnostic Tests for Cross-Sectional Dependence in Panels
193,Econometric Methods,Unit Root,Im,Kyung So,Testing for Unit Roots in Heterogeneous Panels (JoE),2003,Journal of Econometrics,ARTICLE,MEDIUM,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Im Testing for Unit Roots in Heterogeneous Panels
194,Econometric Methods,Unit Root,Levin,Andrew,Unit Root Tests in Panel Data (JoE),2002,Journal of Econometrics,ARTICLE,MEDIUM,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Levin Unit Root Tests in Panel Data
195,Econometric Methods,Textbook,Wooldridge,Jeffrey,Econometric Analysis of Cross Section and Panel Data (2nd ed),2010,MIT Press,BOOK,HIGH,NEEDED,MIT Press or Amazon,https://mitpress.mit.edu/,Wooldridge Econometric Analysis of Cross Section and Panel Data
196,Econometric Methods,Textbook,Cameron,Colin,Microeconometrics: Methods and Applications,2005,Cambridge UP,BOOK,MEDIUM,NEEDED,Cambridge UP or Amazon,https://www.cambridge.org/,Cameron Microeconometrics: Methods and Applications
197,Econometric Methods,Textbook,Hamilton,James,Time Series Analysis,1994,Princeton UP,BOOK,MEDIUM,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Hamilton Time Series Analysis
